nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
| Xavier Initialization
| Xavier Initialization
| Xavier Initialization
Supervised Training started
heuristic: min_degree actor learning rate: [0.1] epochs: 500 Train DataSet: UFSMDataset_Demo

Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:340: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
node selected: 786
node selected: 586
node selected: 850
node selected: 155
node selected: 505
node selected: 1069
node selected: 271
node selected: 554
node selected: 927
node selected: 378
node selected: 730
node selected: 412
node selected: 31
node selected: 423
node selected: 640
node selected: 39
node selected: 113
node selected: 23
node selected: 59
node selected: 412
node selected: 1100
node selected: 591
node selected: 780
node selected: 694
node selected: 707
node selected: 758
node selected: 555
node selected: 631
node selected: 508
node selected: 725
node selected: 1094
node selected: 844
node selected: 970
node selected: 147
node selected: 357
node selected: 673
node selected: 944
node selected: 993
node selected: 454
node selected: 29
node selected: 460
node selected: 1
node selected: 618
node selected: 97
node selected: 516
node selected: 131
node selected: 657
node selected: 161
node selected: 870
node selected: 501
node selected: 261
node selected: 394
node selected: 758
node selected: 436
node selected: 253
node selected: 31
node selected: 234
node selected: 536
node selected: 1171
node selected: 633
node selected: 121
node selected: 743
node selected: 303
node selected: 868
node selected: 655
node selected: 736
node selected: 101
node selected: 669
node selected: 397
node selected: 654
node selected: 765
node selected: 403
node selected: 573
node selected: 784
node selected: 401
node selected: 417
node selected: 1067
node selected: 1020
node selected: 1019
node selected: 330
node selected: 964
node selected: 1142
node selected: 720
node selected: 725
node selected: 937
node selected: 349
node selected: 853
node selected: 1101
node selected: 44
node selected: 644
node selected: 796
node selected: 438
node selected: 627
node selected: 5
node selected: 316
node selected: 619
node selected: 1047
node selected: 315
node selected: 442
node selected: 1150
node selected: 527
node selected: 101
node selected: 514
node selected: 1148
node selected: 1183
node selected: 653
node selected: 215
node selected: 871
node selected: 1052
node selected: 123
node selected: 344
node selected: 442
node selected: 252
node selected: 139
node selected: 576
node selected: 727
node selected: 24
node selected: 1089
node selected: 941
node selected: 1085
node selected: 737
node selected: 652
node selected: 1043
node selected: 326
node selected: 800
node selected: 35
node selected: 547
node selected: 725
node selected: 532
node selected: 1078
node selected: 932
node selected: 1060
node selected: 85
node selected: 493
node selected: 69
node selected: 857
node selected: 69
node selected: 617
node selected: 116
node selected: 620
node selected: 423
node selected: 284
node selected: 284
node selected: 939
node selected: 114
node selected: 1029
node selected: 664
node selected: 270
node selected: 996
node selected: 855
node selected: 1027
node selected: 614
node selected: 326
node selected: 20
node selected: 405
node selected: 619
node selected: 640
node selected: 534
node selected: 619
node selected: 386
node selected: 365
node selected: 1118
node selected: 177
node selected: 162
node selected: 539
node selected: 451
node selected: 373
node selected: 451
node selected: 647
node selected: 1073
node selected: 677
node selected: 1017
node selected: 100
node selected: 296
node selected: 64
node selected: 145
node selected: 581
node selected: 501
node selected: 199
node selected: 1018
node selected: 485
node selected: 219
node selected: 871
node selected: 161
node selected: 442
node selected: 632
node selected: 435
node selected: 138
node selected: 775
node selected: 752
node selected: 225
node selected: 239
node selected: 853
node selected: 1003
node selected: 837
node selected: 229
node selected: 276
node selected: 225
node selected: 38
node selected: 405
node selected: 668
node selected: 957
node selected: 719
node selected: 838
node selected: 888
node selected: 266
node selected: 662
node selected: 143
node selected: 62
node selected: 318
node selected: 804
node selected: 399
node selected: 1058
node selected: 937
node selected: 71
node selected: 473
node selected: 480
node selected: 775
node selected: 491
node selected: 42
node selected: 1022
node selected: 175
node selected: 1067
node selected: 366
node selected: 116
node selected: 257
node selected: 99
node selected: 672
node selected: 520
node selected: 754
node selected: 170
node selected: 30
node selected: 545
node selected: 1042
node selected: 262
node selected: 196
node selected: 245
node selected: 700
node selected: 1
node selected: 799
node selected: 494
node selected: 885
node selected: 630
node selected: 427
node selected: 720
node selected: 239
node selected: 570
node selected: 630
node selected: 692
node selected: 397
node selected: 386
node selected: 179
node selected: 988
node selected: 850
node selected: 178
node selected: 33
node selected: 564
node selected: 964
node selected: 108
node selected: 76
node selected: 932
node selected: 1017
node selected: 424
node selected: 92
node selected: 242
node selected: 312
node selected: 7
node selected: 897
node selected: 594
node selected: 686
node selected: 489
node selected: 874
node selected: 614
node selected: 627
node selected: 921
node selected: 65
node selected: 101
node selected: 609
node selected: 248
node selected: 9
node selected: 537
node selected: 344
node selected: 526
node selected: 626
node selected: 254
node selected: 429
node selected: 968
node selected: 183
node selected: 582
node selected: 515
node selected: 587
node selected: 841
node selected: 555
node selected: 80
node selected: 236
node selected: 578
node selected: 470
node selected: 387
node selected: 510
node selected: 594
node selected: 298
node selected: 103
node selected: 588
node selected: 438
node selected: 380
node selected: 748
node selected: 53
node selected: 425
node selected: 553
node selected: 936
node selected: 926
node selected: 165
node selected: 205
node selected: 736
node selected: 933
node selected: 177
node selected: 584
node selected: 950
node selected: 517
node selected: 500
node selected: 432
node selected: 150
node selected: 146
node selected: 392
node selected: 764
node selected: 145
node selected: 341
node selected: 346
node selected: 288
node selected: 45
node selected: 679
node selected: 485
node selected: 309
node selected: 714
node selected: 432
node selected: 485
node selected: 123
node selected: 344
node selected: 725
node selected: 607
node selected: 176
node selected: 244
node selected: 671
node selected: 510
node selected: 947
node selected: 922
node selected: 52
node selected: 630
node selected: 514
node selected: 414
node selected: 621
node selected: 135
node selected: 555
node selected: 411
node selected: 210
node selected: 319
node selected: 678
node selected: 908
node selected: 78
node selected: 822
node selected: 253
node selected: 351
node selected: 213
node selected: 557
node selected: 177
node selected: 493
node selected: 389
node selected: 739
node selected: 106
node selected: 81
node selected: 441
node selected: 718
node selected: 918
node selected: 677
node selected: 409
node selected: 785
node selected: 14
node selected: 590
node selected: 208
node selected: 125
node selected: 644
node selected: 273
node selected: 894
node selected: 793
node selected: 611
node selected: 688
node selected: 438
node selected: 353
node selected: 468
node selected: 15
node selected: 796
node selected: 615
node selected: 413
node selected: 304
node selected: 804
node selected: 484
node selected: 336
node selected: 14
node selected: 602
node selected: 687
node selected: 230
node selected: 784
node selected: 228
node selected: 609
node selected: 333
node selected: 612
node selected: 717
node selected: 303
node selected: 798
node selected: 450
node selected: 739
node selected: 826
node selected: 191
node selected: 798
node selected: 873
node selected: 206
node selected: 109
node selected: 377
node selected: 750
node selected: 60
node selected: 797
node selected: 8
node selected: 769
node selected: 462
node selected: 378
node selected: 666
node selected: 737
node selected: 802
node selected: 634
node selected: 500
node selected: 419
node selected: 19
node selected: 166
node selected: 270
node selected: 763
node selected: 507
node selected: 281
node selected: 606
node selected: 368
node selected: 370
node selected: 285
node selected: 733
node selected: 806
node selected: 56
node selected: 429
node selected: 97
node selected: 246
node selected: 296
node selected: 447
node selected: 45
node selected: 697
node selected: 798
node selected: 2
node selected: 587
node selected: 139
node selected: 270
node selected: 671
node selected: 700
node selected: 753
node selected: 196
node selected: 305
node selected: 139
node selected: 0
node selected: 519
node selected: 752
node selected: 36
node selected: 451
node selected: 129
node selected: 80
node selected: 400
node selected: 416
node selected: 294
node selected: 7
node selected: 519
node selected: 245
node selected: 168
node selected: 46
node selected: 657
node selected: 503
node selected: 9
node selected: 470
node selected: 398
node selected: 381
node selected: 642
node selected: 725
node selected: 328
node selected: 328
node selected: 17
node selected: 157
node selected: 275
node selected: 293
node selected: 430
node selected: 567
node selected: 193
node selected: 478
node selected: 435
node selected: 565
node selected: 272
node selected: 155
node selected: 591
node selected: 712
node selected: 632
node selected: 230
node selected: 540
node selected: 504
node selected: 610
node selected: 510
node selected: 323
node selected: 193
node selected: 119
node selected: 744
node selected: 491
node selected: 732
node selected: 161
node selected: 253
node selected: 191
node selected: 197
node selected: 95
node selected: 158
node selected: 467
node selected: 555
node selected: 701
node selected: 182
node selected: 330
node selected: 524
node selected: 611
node selected: 282
node selected: 153
node selected: 153
node selected: 593
node selected: 97
node selected: 389
node selected: 226
node selected: 207
node selected: 661
node selected: 13
node selected: 360
node selected: 263
node selected: 19
node selected: 398
node selected: 84
node selected: 292
node selected: 571
node selected: 694
node selected: 649
node selected: 35
node selected: 383
node selected: 377
node selected: 385
node selected: 612
node selected: 600
node selected: 725
node selected: 695
node selected: 385
node selected: 285
node selected: 202
node selected: 554
node selected: 381
node selected: 721
node selected: 71
node selected: 695
node selected: 685
node selected: 579
node selected: 27
node selected: 227
node selected: 232
node selected: 435
node selected: 291
node selected: 536
node selected: 495
node selected: 498
node selected: 143
node selected: 391
node selected: 159
node selected: 593
node selected: 641
node selected: 249
node selected: 586
node selected: 434
node selected: 139
node selected: 237
node selected: 31
node selected: 115
node selected: 21
node selected: 103
node selected: 170
node selected: 435
node selected: 174
node selected: 680
node selected: 128
node selected: 220
node selected: 359
node selected: 382
node selected: 503
node selected: 266
node selected: 17
node selected: 363
node selected: 576
node selected: 447
node selected: 39
node selected: 394
node selected: 557
node selected: 141
node selected: 607
node selected: 9
node selected: 421
node selected: 466
node selected: 146
node selected: 294
node selected: 370
node selected: 286
node selected: 473
node selected: 339
node selected: 571
node selected: 466
node selected: 598
node selected: 541
node selected: 446
node selected: 661
node selected: 323
node selected: 72
node selected: 170
node selected: 557
node selected: 403
node selected: 648
node selected: 395
node selected: 117
node selected: 524
node selected: 372
node selected: 511
node selected: 616
node selected: 39
node selected: 212
node selected: 519
node selected: 211
node selected: 14
node selected: 22
node selected: 226
node selected: 230
node selected: 81
node selected: 243
node selected: 184
node selected: 192
node selected: 222
node selected: 528
node selected: 428
node selected: 532
node selected: 267
node selected: 344
node selected: 421
node selected: 187
node selected: 562
node selected: 445
node selected: 430
node selected: 42
node selected: 296
node selected: 352
node selected: 504
node selected: 205
node selected: 35
node selected: 67
node selected: 34
node selected: 317
node selected: 188
node selected: 463
node selected: 492
node selected: 4
node selected: 222
node selected: 78
node selected: 394
node selected: 521
node selected: 183
node selected: 538
node selected: 559
node selected: 616
node selected: 144
node selected: 522
node selected: 328
node selected: 419
node selected: 320
node selected: 103
node selected: 20
node selected: 372
node selected: 372
node selected: 261
node selected: 273
node selected: 67
node selected: 592
node selected: 255
node selected: 568
node selected: 318
node selected: 334
node selected: 375
node selected: 25
node selected: 180
node selected: 522
node selected: 28
node selected: 215
node selected: 321
node selected: 366
node selected: 20
node selected: 308
node selected: 461
node selected: 202
node selected: 586
node selected: 347
node selected: 375
node selected: 316
node selected: 273
node selected: 347
node selected: 324
node selected: 219
node selected: 430
node selected: 159
node selected: 279
node selected: 273
node selected: 322
node selected: 409
node selected: 571
node selected: 329
node selected: 148
node selected: 462
node selected: 508
node selected: 391
node selected: 129
node selected: 516
node selected: 72
node selected: 553
node selected: 392
node selected: 114
node selected: 169
node selected: 336
node selected: 282
node selected: 197
node selected: 103
node selected: 465
node selected: 522
node selected: 511
node selected: 369
node selected: 325
node selected: 205
node selected: 173
node selected: 32
node selected: 27
node selected: 233
node selected: 453
node selected: 396
node selected: 185
node selected: 68
node selected: 285
node selected: 334
node selected: 118
node selected: 399
node selected: 429
node selected: 237
node selected: 497
node selected: 484
node selected: 103
node selected: 463
node selected: 403
node selected: 102
node selected: 376
node selected: 420
node selected: 300
node selected: 54
node selected: 138
node selected: 430
node selected: 215
node selected: 231
node selected: 282
node selected: 162
node selected: 376
node selected: 59
node selected: 517
node selected: 379
node selected: 401
node selected: 422
node selected: 334
node selected: 415
node selected: 184
node selected: 476
node selected: 492
node selected: 116
node selected: 281
node selected: 406
node selected: 203
node selected: 373
node selected: 411
node selected: 5
node selected: 303
node selected: 320
node selected: 91
node selected: 189
node selected: 204
node selected: 335
node selected: 194
node selected: 369
node selected: 44
node selected: 99
node selected: 322
node selected: 49
node selected: 471
node selected: 392
node selected: 66
node selected: 6
node selected: 40
node selected: 391
node selected: 35
node selected: 480
node selected: 273
node selected: 74
node selected: 275
node selected: 308
node selected: 373
node selected: 218
node selected: 172
node selected: 123
node selected: 304
node selected: 436
node selected: 173
node selected: 242
node selected: 247
node selected: 356
node selected: 271
node selected: 48
node selected: 22
node selected: 249
node selected: 299
node selected: 64
node selected: 135
node selected: 383
node selected: 74
node selected: 84
node selected: 98
node selected: 140
node selected: 407
node selected: 151
node selected: 207
node selected: 315
node selected: 207
node selected: 88
node selected: 7
node selected: 277
node selected: 63
node selected: 78
node selected: 316
node selected: 412
node selected: 72
node selected: 15
node selected: 427
node selected: 330
node selected: 180
node selected: 28
node selected: 75
node selected: 405
node selected: 384
node selected: 372
node selected: 386
node selected: 354
node selected: 212
node selected: 191
node selected: 415
node selected: 191
node selected: 321
node selected: 311
node selected: 416
node selected: 263
node selected: 320
node selected: 39
node selected: 422
node selected: 94
node selected: 325
node selected: 141
node selected: 91
node selected: 415
node selected: 282
node selected: 28
node selected: 150
node selected: 155
node selected: 393
node selected: 258
node selected: 265
node selected: 207
node selected: 66
node selected: 65
node selected: 309
node selected: 399
node selected: 207
node selected: 359
node selected: 189
node selected: 281
node selected: 221
node selected: 211
node selected: 70
node selected: 281
node selected: 323
node selected: 86
node selected: 50
node selected: 76
node selected: 258
node selected: 118
node selected: 326
node selected: 367
node selected: 340
node selected: 197
node selected: 173
node selected: 312
node selected: 281
node selected: 85
node selected: 194
node selected: 112
node selected: 309
node selected: 49
node selected: 31
node selected: 334
node selected: 319
node selected: 41
node selected: 95
node selected: 188
node selected: 27
node selected: 314
node selected: 286
node selected: 161
node selected: 105
node selected: 309
node selected: 10
node selected: 290
node selected: 340
node selected: 122
node selected: 352
node selected: 196
node selected: 297
node selected: 18
node selected: 35
node selected: 323
node selected: 215
node selected: 239
node selected: 210
node selected: 145
node selected: 257
node selected: 211
node selected: 83
node selected: 185
node selected: 92
node selected: 98
node selected: 184
node selected: 248
node selected: 103
node selected: 175
node selected: 52
node selected: 181
node selected: 134
node selected: 8
node selected: 143
node selected: 59
node selected: 281
node selected: 165
node selected: 182
node selected: 268
node selected: 55
node selected: 201
node selected: 237
node selected: 320
node selected: 299
node selected: 119
node selected: 109
node selected: 208
node selected: 218
node selected: 174
node selected: 224
node selected: 11
node selected: 120
node selected: 108
node selected: 183
node selected: 305
node selected: 24
node selected: 84
node selected: 61
node selected: 126
node selected: 148
node selected: 97
node selected: 99
node selected: 154
node selected: 268
node selected: 225
node selected: 122
node selected: 136
node selected: 85
node selected: 259
node selected: 178
node selected: 69
node selected: 300
node selected: 252
node selected: 94
node selected: 144
node selected: 54
node selected: 224
node selected: 190
node selected: 140
node selected: 141
node selected: 198
node selected: 95
node selected: 121
node selected: 71
node selected: 163
node selected: 77
node selected: 133
node selected: 72
node selected: 276
node selected: 183
node selected: 167
node selected: 168
node selected: 14
node selected: 170
node selected: 207
node selected: 79
node selected: 254
node selected: 86
node selected: 160
node selected: 40
node selected: 111
node selected: 70
node selected: 177
node selected: 154
node selected: 176
node selected: 145
node selected: 8
node selected: 166
node selected: 11
node selected: 231
node selected: 182
node selected: 85
node selected: 33
node selected: 82
node selected: 144
node selected: 208
node selected: 55
node selected: 28
node selected: 251
node selected: 92
node selected: 145
node selected: 186
node selected: 88
node selected: 76
node selected: 28
node selected: 79
node selected: 149
node selected: 154
node selected: 205
node selected: 126
node selected: 67
node selected: 81
node selected: 50
node selected: 127
node selected: 65
node selected: 90
node selected: 110
node selected: 94
node selected: 116
node selected: 19
node selected: 115
node selected: 85
node selected: 92
node selected: 48
node selected: 123
node selected: 215
node selected: 153
node selected: 178
node selected: 121
node selected: 44
node selected: 111
node selected: 15
node selected: 12
node selected: 110
node selected: 174
node selected: 201
node selected: 50
node selected: 12
node selected: 84
node selected: 52
node selected: 71
node selected: 209
node selected: 175
node selected: 172
node selected: 121
node selected: 13
node selected: 178
node selected: 91
node selected: 106
node selected: 33
node selected: 5
node selected: 132
node selected: 44
node selected: 1
node selected: 100
node selected: 110
node selected: 133
node selected: 113
node selected: 172
node selected: 34
node selected: 110
node selected: 187
node selected: 177
node selected: 142
node selected: 85
node selected: 15
node selected: 58
node selected: 89
node selected: 145
node selected: 160
node selected: 156
node selected: 121
node selected: 32
node selected: 85
node selected: 61
node selected: 125
node selected: 71
node selected: 17
node selected: 117
node selected: 15
node selected: 104
node selected: 147
node selected: 164
node selected: 14
node selected: 161
node selected: 150
node selected: 73
node selected: 26
node selected: 92
node selected: 88
node selected: 40
node selected: 19
node selected: 46
node selected: 14
node selected: 117
node selected: 12
node selected: 72
node selected: 113
node selected: 60
node selected: 46
node selected: 101
node selected: 108
node selected: 32
node selected: 87
node selected: 27
node selected: 63
node selected: 13
node selected: 95
node selected: 76
node selected: 1
node selected: 7
node selected: 122
node selected: 27
node selected: 38
node selected: 37
node selected: 120
node selected: 23
node selected: 48
node selected: 56
node selected: 14
node selected: 60
node selected: 107
node selected: 22
node selected: 31
node selected: 12
node selected: 24
node selected: 28
node selected: 65
node selected: 32
node selected: 45
node selected: 110
node selected: 18
node selected: 17
node selected: 29
node selected: 46
node selected: 26
node selected: 61
node selected: 25
node selected: 3
node selected: 86
node selected: 46
node selected: 53
node selected: 61
node selected: 79
node selected: 82
node selected: 38
node selected: 96
node selected: 103
node selected: 81
node selected: 5
node selected: 97
node selected: 1
node selected: 43
node selected: 24
node selected: 20
node selected: 12
node selected: 89
node selected: 45
node selected: 13
node selected: 32
node selected: 61
node selected: 86
node selected: 78
node selected: 58
node selected: 57
node selected: 70
node selected: 64
node selected: 23
node selected: 56
node selected: 12
node selected: 6
node selected: 32
node selected: 27
node selected: 17
node selected: 17
node selected: 73
node selected: 10
node selected: 66
node selected: 30
node selected: 45
node selected: 59
node selected: 41
node selected: 49
node selected: 5
node selected: 33
node selected: 40
node selected: 43
node selected: 22
node selected: 20
node selected: 57
node selected: 0
node selected: 32
node selected: 40
node selected: 42
node selected: 0
node selected: 45
node selected: 20
node selected: 34
node selected: 15
node selected: 32
node selected: 5
node selected: 36
node selected: 49
node selected: 29
node selected: 43
node selected: 9
node selected: 0
node selected: 30
node selected: 20
node selected: 29
node selected: 2
node selected: 32
node selected: 16
node selected: 3
node selected: 18
node selected: 35
node selected: 31
node selected: 14
node selected: 15
node selected: 25
node selected: 27
node selected: 26
node selected: 19
node selected: 26
node selected: 13
node selected: 23
node selected: 4
node selected: 5
node selected: 19
node selected: 5
node selected: 1
node selected: 20
node selected: 6
